row_index,season,window,transfer_type,player_name,player_url,team_name,club_2,country_2,league_2,country,league,transfer_fee,is_loan,transfer_notes,why_missing
10283,2016,Winter,Departures,Iulian Mamele,https://www.transfermarkt.com/iulian-mamele/profil/spieler/200472,Concordia Chiajna,,,,Romania,Liga 2,,False,-,club_2 is empty/null
10330,2016,Summer,Departures,Adrian Mutu,https://www.transfermarkt.com/adrian-mutu/profil/spieler/5879,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
10331,2016,Summer,Departures,Bruno Martins,https://www.transfermarkt.com/bruno-martins/profil/spieler/329763,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
10369,2016,Winter,Departures,Ianis Zicu,https://www.transfermarkt.com/ianis-zicu/profil/spieler/16909,AS Ardealul Tg. Mures (- 2018),,,,,,,False,-,club_2 is empty/null
10405,2016,Winter,Departures,Dumitru Hotoboc,https://www.transfermarkt.com/dumitru-hotoboc/profil/spieler/46563,ACSM Politehnica Iasi,,,,Romania,Liga 2,,False,-,club_2 is empty/null
10432,2016,Summer,Departures,Daniel Pancu,https://www.transfermarkt.com/daniel-pancu/profil/spieler/6888,FC Voluntari,,,,Romania,Liga 2,,False,-,club_2 is empty/null
10680,2017,Summer,Departures,Traian Marc,https://www.transfermarkt.com/traian-marc/profil/spieler/47490,CFR Cluj,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
10836,2017,Summer,Departures,Geraldo,https://www.transfermarkt.com/geraldo/profil/spieler/14300,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
10837,2017,Summer,Departures,Florin Lovin,https://www.transfermarkt.com/florin-lovin/profil/spieler/26497,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
11043,2017,Summer,Departures,Armando Mihai,https://www.transfermarkt.com/armando-mihai/profil/spieler/48769,Sepsi OSK Sf. Gheorghe,,,,Romania,Liga 2,,False,-,club_2 is empty/null
11045,2017,Summer,Departures,Valentin Suciu,https://www.transfermarkt.com/valentin-suciu/profil/spieler/244685,Sepsi OSK Sf. Gheorghe,,,,Romania,Liga 2,,False,-,club_2 is empty/null
11149,2017,Summer,Departures,Mircea Bornescu,https://www.transfermarkt.com/mircea-bornescu/profil/spieler/47569,FC Voluntari,,,,Romania,Liga 2,,False,-,club_2 is empty/null
11150,2017,Summer,Departures,Nicolae Grigore,https://www.transfermarkt.com/nicolae-grigore/profil/spieler/35437,FC Voluntari,,,,Romania,Liga 2,,False,-,club_2 is empty/null
11208,2017,Summer,Departures,Marius Croitoru,https://www.transfermarkt.com/marius-croitoru/profil/spieler/46526,ACS Poli Timisoara (2012 - 2021),,,,,,,False,-,club_2 is empty/null
11254,2017,Summer,Departures,Pedro Mingote,https://www.transfermarkt.com/pedro-mingote/profil/spieler/24873,ASC Daco-Getica Bukarest,,,,,,,False,-,club_2 is empty/null
11377,2018,Summer,Departures,Sorin Rădoi,https://www.transfermarkt.com/sorin-radoi/profil/spieler/47180,FCV Farul Constanta,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
11598,2018,Winter,Departures,Jaime Penedo,https://www.transfermarkt.com/jaime-penedo/profil/spieler/43851,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
11601,2018,Winter,Departures,Grégory Tadé,https://www.transfermarkt.com/gregory-tade/profil/spieler/45931,FC Dinamo 1948,,,,Romania,SuperLiga,,False,-,club_2 is empty/null
11628,2018,Summer,Departures,Ionuț Boșneag,https://www.transfermarkt.com/ionut-bosneag/profil/spieler/46509,Astra Giurgiu (- 2024),,,,,,,False,-,club_2 is empty/null
